Voltage (V),PWM,Sample,Vibration (g),Timestamp
1.5,76,1,2.347000,2025-10-27 14:41:13.813
1.5,76,2,2.214000,2025-10-27 14:41:14.266
1.5,76,3,1.168000,2025-10-27 14:41:14.719
1.5,76,4,2.448000,2025-10-27 14:41:15.172
1.5,76,5,0.835000,2025-10-27 14:41:15.626
2.0,102,1,1.659000,2025-10-27 14:41:17.335
2.0,102,2,1.456000,2025-10-27 14:41:17.788
2.0,102,3,2.245000,2025-10-27 14:41:18.241
2.0,102,4,1.347000,2025-10-27 14:41:18.694
2.0,102,5,1.437000,2025-10-27 14:41:19.148
2.5,127,1,1.581000,2025-10-27 14:41:20.855
2.5,127,2,2.467000,2025-10-27 14:41:21.309
2.5,127,3,2.227000,2025-10-27 14:41:21.762
2.5,127,4,1.713000,2025-10-27 14:41:22.214
2.5,127,5,1.605000,2025-10-27 14:41:22.667
3.0,153,1,3.299000,2025-10-27 14:41:24.376
3.0,153,2,2.237000,2025-10-27 14:41:24.828
3.0,153,3,2.211000,2025-10-27 14:41:25.281
3.0,153,4,3.000000,2025-10-27 14:41:25.734
3.0,153,5,3.640000,2025-10-27 14:41:26.187
